,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Bedrooms,Toilets,   ,Bathrooms,Parking Spaces,Servicing,Service Charge,Total Area,Covered Area,Furnishing
595, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
596, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
597, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
598, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
599, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
600, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
601, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
602, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
603, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
604, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
605, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
606, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
607, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
608, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
609, per annum,"8,000,000", Terraced Duplex," Oniru, Victoria Island (VI), Lagos", 1243809, 02 Mar 2022, 11 Apr 2022, Available, 5, 6, , 5,,,,,,
610, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
611, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
612, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
613, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
614, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
615, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
616, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
617, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
618, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
619, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
620, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
621, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
622, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
623, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
624, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
625, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
626, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
627, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
628, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
629, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
630, per annum,"800,000", Self Contain (Single Rooms)," Lekki County Homes, Ikota, Lekki, Lagos", 1303779, 28 Apr 2022, 04 May 2022, Available,, 1, , 1, 1, Serviced," ₦150,000 per annum",,,
631, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
632, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
633, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
634, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
635, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
636, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
637, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
638, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
639, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
640, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
641, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
642, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
643, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
644, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
645, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
646, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
647, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
648, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
649, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
650, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
651, per annum,"4,500,000", Terraced Duplex," Naf Valley Estate, Asokoro District, Abuja", 1296211, 21 Apr 2022, 04 May 2022, Available, 3, 4, , 3, 1, Serviced," ₦800,000 per annum", 400 sqm, 280 sqm, Furnished
652, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
653, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
654, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
655, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
656, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
657, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
658, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
659, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
660, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
661, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
662, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
663, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
664, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
665, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
666, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
667, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
668, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
669, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
670, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
671, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
672, per annum,"4,500,000", Terraced Duplex," Naf Valley Estate, Asokoro District, Abuja", 1296211, 21 Apr 2022, 04 May 2022, Available, 3, 4, , 3, 1, Serviced," ₦800,000 per annum", 400 sqm, 280 sqm, Furnished
673, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
674, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
675, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
676, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
677, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
678, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
679, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
680, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
681, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
682, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
683, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
684, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
685, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
686, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
687, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
688, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
689, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
690, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
691, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
692, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
693, per annum,"1,400,000", Self Contain (Single Rooms)," Lekki County Homes, Ikota, Lekki, Lagos", 1303789, 28 Apr 2022, 05 May 2022, Available,, 1,, 4,, Serviced," ₦150,000 per annum",,,
694, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
695, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
696, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
697, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
698, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
699, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
700, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
701, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
702, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
703, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
704, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
705, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
706, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
707, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
708, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
709, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
710, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
711, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
712, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
713, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
714, per annum,"800,000", Self Contain (Single Rooms)," Lekki County Homes, Ikota, Lekki, Lagos", 1303779, 28 Apr 2022, 04 May 2022, Available,, 1, , 1, 1, Serviced," ₦150,000 per annum",,,
715, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
716, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
717, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
718, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
719, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
720, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
721, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
722, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
723, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
724, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
725, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
726, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
727, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
728, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
729, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
730, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
731, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
732, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
733, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
734, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
735, per annum,"8,000,000", Detached Duplex," Harmony Enclave, Adeniyi Jones, Ikeja, Lagos", 1293751, 18 Apr 2022, 18 Apr 2022, Available, 5, 6, ,,,,,,,
736, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
737, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
738, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
739, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
740, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
741, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
742, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
743, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
744, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
745, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
746, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
